Visited,Date visited,Place name,Type,Agency,State(s),Notes,Official page
,,Abraham Lincoln Birthplace,NHP,NPS,KY,,https://www.nps.gov/abli/
,,Acadia,NP,NPS,ME,,https://www.nps.gov/acad
,,Adams,NHP,NPS,MA,,https://www.nps.gov/adam
,,Admiralty Island,NM,USFS,AK,,https://www.fs.usda.gov/recarea/tongass/recarea/?recid=78614
,,African Burial Ground,NM,NPS,NY,,https://www.nps.gov/afbg/
,,Agate Fossil Beds,NM,NPS,NE,,https://www.nps.gov/agfo/
,,Agua Fria,NM,BLM,AZ,,https://www.blm.gov/visit/agua-fria
,,Alagnak,WR,NPS,AK,,https://www.nps.gov/alag/
,,Aleutian Islands World War II,NM,FWS,AK,,https://www.fws.gov/refuge/alaska_maritime/AleutianIslandsWWIIMonument.html
,,Alibates Flint Quarries,NM,NPS,TX,,https://www.nps.gov/alfl/
,,Allegheny Portage Railroad,NHS,NPS,PA,,https://www.nps.gov/alpo/
,,Amache,NHS,NPS,CO,,https://www.nps.gov/amch/
,,"American Samoa, National Park of",NP,NPS,AS,,https://www.nps.gov/npsa/
,,Amistad,NRA,NPS,TX,,https://www.nps.gov/amis/
,,Andersonville,NHS,NPS,GA,,https://www.nps.gov/ande/
,,Andrew Johnson,NHS,NPS,TN,,https://www.nps.gov/anjo/
,,Aniakchak,NM,NPS,AK,,https://www.nps.gov/ania/
,,Aniakchak,NPRES,NPS,AK,,https://www.nps.gov/ania/
,,Antietam,NB,NPS,MD,,https://www.nps.gov/anti/
,,Apostle Islands,NL,NPS,WI,,https://www.nps.gov/apis/
,,Appalachian,NST,NPS,"GA, NC, TN, VA, WV, MD, PA, NJ, NY, CT, MA, VT, NH, ME",,https://www.nps.gov/appa/
,,Appomattox Court House,NHP,NPS,VA,,https://www.nps.gov/apco/
,,Arches,NP,NPS,UT,,https://www.nps.gov/arch/
,,Arkansas Post,NMEM,NPS,AR,,https://www.nps.gov/arpo/
,,"Arlington House, the Robert E. Lee Memorial",NMEM,NPS,VA,,https://www.nps.gov/arho/
,,Assateague Island,NS,NPS,"MD, VA",,https://www.nps.gov/asis/
,,Avi Kwa Ame,NM,BLM,NV,,https://www.blm.gov/avi-kwa-ame-national-monument
,,Aztec Ruins,NM,NPS,NM,,https://www.nps.gov/azru/
,,Badlands,NP,NPS,SD,,https://www.nps.gov/badl/
,,Bandelier,NM,NPS,NM,,https://www.nps.gov/band/
,,Basin and Range,NM,BLM,NV,,https://www.blm.gov/programs/national-conservation-lands/nevada/basin-and-range-national-monument
,,Bears Ears,NM,"BLM, USFS",UT,,https://www.blm.gov/visit/bears-ears-national-monument
,,Beaver Dam Wash,NCA,BLM,UT,,https://www.blm.gov/visit/beaver-dam-wash-nca
,,Belmont-Paul Womens Equality,NM,NPS,DC,,https://www.nps.gov/bepa/
,,Bent’s Old Fort,NHS,NPS,CO,,https://www.nps.gov/beol/
,,Bering Land Bridge,NPRES,NPS,AK,,https://www.nps.gov/bela/
,,Berryessa Snow Mountain,NM,"USFS, BLM",CA,,https://www.blm.gov/programs/national-conservation-lands/california/berryessa-snow-mountain-national-monument
,,Big Bend,NP,NPS,TX,,https://www.nps.gov/bibe/
,,Big Cypress,NPRES,NPS,FL,,https://www.nps.gov/bicy/
,,Big Hole,NB,NPS,MT,,https://www.nps.gov/biho
,,Big South Fork,NRRA,NPS,"TN, KY",,https://www.nps.gov/biso/
,,Big Thicket,NPRES,NPS,TX,,https://www.nps.gov/bith/
,,Bighorn Canyon,NRA,NPS,"WY, MT",,https://www.nps.gov/bica/
,,Birmingham Civil Rights,NM,NPS,AL,,https://www.nps.gov/bicr
,,Biscayne,NP,NPS,FL,,https://www.nps.gov/bisc/
,,Black Canyon of the Gunnison,NP,NPS,CO,,https://www.nps.gov/blca/
